###############################################################
#  Generated by:      Cadence Innovus 19.11-s128_1
#  OS:                Linux x86_64(Host ID cn93.it.auth.gr)
#  Generated on:      Thu Dec  8 17:10:59 2022
#  Design:            picorv32
#  Command:           report_timing > ex5.5report_timing_vima14.txt
###############################################################
Path 1: MET Setup Check with Pin genblk1.pcpi_mul_rd_reg[63]/CK 
Endpoint:   genblk1.pcpi_mul_rd_reg[63]/D (^) checked with  leading edge of 
'clk'
Beginpoint: genblk1.pcpi_mul_rs2_reg[7]/Q (v) triggered by  leading edge of 
'clk'
Path Groups: {clk}
Analysis View: default_emulate_view
Other End Arrival Time         -0.007
- Setup                         0.120
+ Phase Shift                  10.000
- Uncertainty                   0.050
= Required Time                 9.824
- Arrival Time                  8.313
= Slack Time                    1.510
     Clock Rise Edge                 0.000
     + Clock Network Latency (Prop)  0.009
     = Beginpoint Arrival Time       0.009
     +---------------------------------------------------------------------------------------------+ 
     |              Instance               |     Arc      |   Cell    | Delay | Arrival | Required | 
     |                                     |              |           |       |  Time   |   Time   | 
     |-------------------------------------+--------------+-----------+-------+---------+----------| 
     | genblk1.pcpi_mul_rs2_reg[7]         | CK ^         |           |       |   0.009 |    1.519 | 
     | genblk1.pcpi_mul_rs2_reg[7]         | CK ^ -> Q v  | DFFHQX1   | 0.263 |   0.272 |    1.782 | 
     | FE_OFC579_genblk1_pcpi_mul_rs2_7    | A v -> Y v   | BUFX3     | 0.150 |   0.422 |    1.932 | 
     | genblk1.pcpi_mul_mul_2366_47_g50314 | A v -> Y ^   | INVX3     | 0.163 |   0.585 |    2.095 | 
     | g189150                             | A1 ^ -> Y ^  | AO22X2    | 0.343 |   0.928 |    2.439 | 
     | genblk1.pcpi_mul_mul_2366_47_g49324 | A ^ -> Y v   | INVX3     | 0.184 |   1.112 |    2.623 | 
     | genblk1.pcpi_mul_mul_2366_47_g49219 | B v -> Y ^   | NOR2X1    | 0.173 |   1.286 |    2.796 | 
     | genblk1.pcpi_mul_mul_2366_47_g48566 | A ^ -> CO ^  | ADDFX1    | 0.250 |   1.536 |    3.046 | 
     | genblk1.pcpi_mul_mul_2366_47_g48391 | B ^ -> S ^   | ADDFX1    | 0.285 |   1.821 |    3.331 | 
     | g189176                             | CI ^ -> S v  | ADDFX1    | 0.285 |   2.105 |    3.615 | 
     | genblk1.pcpi_mul_mul_2366_47_g48259 | B v -> Y ^   | NOR2X1    | 0.077 |   2.182 |    3.692 | 
     | genblk1.pcpi_mul_mul_2366_47_g48256 | A ^ -> Y v   | INVX1     | 0.069 |   2.250 |    3.761 | 
     | genblk1.pcpi_mul_mul_2366_47_g48095 | A v -> Y ^   | NAND2X1   | 0.049 |   2.300 |    3.810 | 
     | g189128                             | C0 ^ -> Y v  | OAI211X1  | 0.147 |   2.446 |    3.957 | 
     | g189127                             | A1N v -> Y v | OAI2BB1X1 | 0.177 |   2.624 |    4.134 | 
     | g188693                             | AN v -> Y v  | NOR2BX1   | 0.105 |   2.729 |    4.239 | 
     | genblk1.pcpi_mul_mul_2366_47_g47982 | B v -> Y ^   | NOR2X1    | 0.070 |   2.798 |    4.309 | 
     | genblk1.pcpi_mul_mul_2366_47_g47939 | B ^ -> Y v   | NOR2X1    | 0.068 |   2.866 |    4.376 | 
     | genblk1.pcpi_mul_mul_2366_47_g47930 | B v -> Y ^   | NAND2X1   | 0.048 |   2.914 |    4.424 | 
     | g189126                             | C0 ^ -> Y v  | OAI211X1  | 0.159 |   3.073 |    4.583 | 
     | genblk1.pcpi_mul_mul_2366_47_g52962 | AN v -> Y v  | NOR2BX1   | 0.142 |   3.215 |    4.725 | 
     | genblk1.pcpi_mul_mul_2366_47_g47877 | B v -> Y ^   | NOR2X1    | 0.077 |   3.291 |    4.802 | 
     | g189123                             | A1N ^ -> Y ^ | AOI2BB1X1 | 0.155 |   3.446 |    4.957 | 
     | g189122                             | A1N ^ -> Y ^ | AOI2BB1X1 | 0.157 |   3.603 |    5.114 | 
     | g189160                             | A1 ^ -> Y ^  | OA21X1    | 0.180 |   3.783 |    5.293 | 
