    Hinst Name                      Module Name          Inst Count           Total Area
-------------------------------------------------------------------------------------
picorv32                                                       9296            27093.240
 RC_CG_HIER_INST0                   RC_CG_MOD                     1                8.550
 RC_CG_HIER_INST1                   RC_CG_MOD_1                   1                6.840
 RC_CG_HIER_INST10                  RC_CG_MOD_10                  1                6.498
 RC_CG_HIER_INST11                  RC_CG_MOD_11                  1                6.498
 RC_CG_HIER_INST12                  RC_CG_MOD_12                  1                6.498
 RC_CG_HIER_INST13                  RC_CG_MOD_13                  1                6.498
 RC_CG_HIER_INST14                  RC_CG_MOD_14                  1                6.498
 RC_CG_HIER_INST15                  RC_CG_MOD_15                  1                6.498
 RC_CG_HIER_INST16                  RC_CG_MOD_16                  1                6.498
 RC_CG_HIER_INST17                  RC_CG_MOD_17                  1                6.498
 RC_CG_HIER_INST18                  RC_CG_MOD_18                  1                6.498
 RC_CG_HIER_INST19                  RC_CG_MOD_19                  1                6.498
 RC_CG_HIER_INST2                   RC_CG_MOD_2                   1                6.840
 RC_CG_HIER_INST20                  RC_CG_MOD_20                  1                6.498
 RC_CG_HIER_INST21                  RC_CG_MOD_21                  1                6.498
 RC_CG_HIER_INST22                  RC_CG_MOD_22                  1                6.498
 RC_CG_HIER_INST23                  RC_CG_MOD_23                  1                6.498
 RC_CG_HIER_INST24                  RC_CG_MOD_24                  1                6.498
 RC_CG_HIER_INST25                  RC_CG_MOD_25                  1                6.498
 RC_CG_HIER_INST26                  RC_CG_MOD_26                  1                6.498
 RC_CG_HIER_INST27                  RC_CG_MOD_27                  1                6.498
 RC_CG_HIER_INST28                  RC_CG_MOD_28                  1                6.498
 RC_CG_HIER_INST29                  RC_CG_MOD_29                  1                6.498
 RC_CG_HIER_INST3                   RC_CG_MOD_3                   1                6.498
 RC_CG_HIER_INST30                  RC_CG_MOD_30                  1                6.498
 RC_CG_HIER_INST31                  RC_CG_MOD_31                  1                6.498
 RC_CG_HIER_INST32                  RC_CG_MOD_32                  1                6.498
 RC_CG_HIER_INST33                  RC_CG_MOD_33                  1                6.498
 RC_CG_HIER_INST34                  RC_CG_MOD_34                  1                6.498
 RC_CG_HIER_INST35                  RC_CG_MOD_35                  1                6.498
 RC_CG_HIER_INST36                  RC_CG_MOD_36                  1                6.840
 RC_CG_HIER_INST37                  RC_CG_MOD_37                  1                6.498
 RC_CG_HIER_INST38                  RC_CG_MOD_38                  1                6.498
 RC_CG_HIER_INST39                  RC_CG_MOD_39                  1                6.498
 RC_CG_HIER_INST4                   RC_CG_MOD_4                   1                6.498
 RC_CG_HIER_INST40                  RC_CG_MOD_40                  1                6.498
 RC_CG_HIER_INST41                  RC_CG_MOD_41                  1                6.498
 RC_CG_HIER_INST42                  RC_CG_MOD_42                  1                6.498
 RC_CG_HIER_INST43                  RC_CG_MOD_43                  1                6.498
 RC_CG_HIER_INST44                  RC_CG_MOD_44                  1                6.498
 RC_CG_HIER_INST45                  RC_CG_MOD_45                  1                6.498
 RC_CG_HIER_INST46                  RC_CG_MOD_46                  1                6.498
 RC_CG_HIER_INST47                  RC_CG_MOD_47                  1                6.498
 RC_CG_HIER_INST48                  RC_CG_MOD_48                  1                6.498
 RC_CG_HIER_INST49                  RC_CG_MOD_49                  1                6.498
 RC_CG_HIER_INST5                   RC_CG_MOD_5                   1                6.498
 RC_CG_HIER_INST50                  RC_CG_MOD_50                  1                6.498
 RC_CG_HIER_INST51                  RC_CG_MOD_51                  1                6.498
 RC_CG_HIER_INST52                  RC_CG_MOD_52                  1                6.498
 RC_CG_HIER_INST53                  RC_CG_MOD_53                  1                6.498
 RC_CG_HIER_INST6                   RC_CG_MOD_6                   1                6.498
 RC_CG_HIER_INST7                   RC_CG_MOD_7                   1                6.498
 RC_CG_HIER_INST8                   RC_CG_MOD_8                   1                6.498
 RC_CG_HIER_INST9                   RC_CG_MOD_9                   1                6.498
 genblk1.pcpi_mul_RC_CG_HIER_INST54 RC_CG_MOD_54                  1                7.182
 genblk2.pcpi_div_RC_CG_HIER_INST55 RC_CG_MOD_55                  1                8.550
 genblk2.pcpi_div_RC_CG_HIER_INST56 RC_CG_MOD_56                  1                6.840
 genblk2.pcpi_div_RC_CG_HIER_INST57 RC_CG_MOD_57                  1                6.498
