Reporting 1 scan chain (muxed_scan)
 
Chain 1: top_chain 
  scan_in:      scan_in 
  scan_out:     scan_out   
  shift_enable: se (active high) 
  clock_domain: scanclk (edge: rise)
  length: 1961
    bit 1 	alu_out_q_reg[0]  <clk (rise)>  
    bit 2 	alu_out_q_reg[1]  <clk (rise)>  
    bit 3 	alu_out_q_reg[2]  <clk (rise)>  
    bit 4 	alu_out_q_reg[3]  <clk (rise)>  
    bit 5 	alu_out_q_reg[4]  <clk (rise)>  
    bit 6 	alu_out_q_reg[5]  <clk (rise)>  
    bit 7 	alu_out_q_reg[6]  <clk (rise)>  
    bit 8 	alu_out_q_reg[7]  <clk (rise)>  
    bit 9 	alu_out_q_reg[8]  <clk (rise)>  
    bit 10 	alu_out_q_reg[9]  <clk (rise)>  
    bit 11 	alu_out_q_reg[10]  <clk (rise)>  
    bit 12 	alu_out_q_reg[11]  <clk (rise)>  
    bit 13 	alu_out_q_reg[12]  <clk (rise)>  
    bit 14 	alu_out_q_reg[13]  <clk (rise)>  
    bit 15 	alu_out_q_reg[14]  <clk (rise)>  
    bit 16 	alu_out_q_reg[15]  <clk (rise)>  
    bit 17 	alu_out_q_reg[16]  <clk (rise)>  
    bit 18 	alu_out_q_reg[17]  <clk (rise)>  
    bit 19 	alu_out_q_reg[18]  <clk (rise)>  
    bit 20 	alu_out_q_reg[19]  <clk (rise)>  
    bit 21 	alu_out_q_reg[20]  <clk (rise)>  
    bit 22 	alu_out_q_reg[21]  <clk (rise)>  
    bit 23 	alu_out_q_reg[22]  <clk (rise)>  
    bit 24 	alu_out_q_reg[23]  <clk (rise)>  
    bit 25 	alu_out_q_reg[24]  <clk (rise)>  
    bit 26 	alu_out_q_reg[25]  <clk (rise)>  
    bit 27 	alu_out_q_reg[26]  <clk (rise)>  
    bit 28 	alu_out_q_reg[27]  <clk (rise)>  
    bit 29 	alu_out_q_reg[28]  <clk (rise)>  
    bit 30 	alu_out_q_reg[29]  <clk (rise)>  
    bit 31 	alu_out_q_reg[30]  <clk (rise)>  
    bit 32 	alu_out_q_reg[31]  <clk (rise)>  
    bit 33 	clear_prefetched_high_word_q_reg  <clk (rise)>  
    bit 34 	compressed_instr_reg  <clk (rise)>  
    bit 35 	count_cycle_reg[0]  <clk (rise)>  
    bit 36 	count_cycle_reg[1]  <clk (rise)>  
    bit 37 	count_cycle_reg[2]  <clk (rise)>  
    bit 38 	count_cycle_reg[3]  <clk (rise)>  
    bit 39 	count_cycle_reg[4]  <clk (rise)>  
    bit 40 	count_cycle_reg[5]  <clk (rise)>  
    bit 41 	count_cycle_reg[6]  <clk (rise)>  
    bit 42 	count_cycle_reg[7]  <clk (rise)>  
    bit 43 	count_cycle_reg[8]  <clk (rise)>  
    bit 44 	count_cycle_reg[9]  <clk (rise)>  
    bit 45 	count_cycle_reg[10]  <clk (rise)>  
    bit 46 	count_cycle_reg[11]  <clk (rise)>  
    bit 47 	count_cycle_reg[12]  <clk (rise)>  
    bit 48 	count_cycle_reg[13]  <clk (rise)>  
    bit 49 	count_cycle_reg[14]  <clk (rise)>  
    bit 50 	count_cycle_reg[15]  <clk (rise)>  
    bit 51 	count_cycle_reg[16]  <clk (rise)>  
    bit 52 	count_cycle_reg[17]  <clk (rise)>  
    bit 53 	count_cycle_reg[18]  <clk (rise)>  
    bit 54 	count_cycle_reg[19]  <clk (rise)>  
    bit 55 	count_cycle_reg[20]  <clk (rise)>  
    bit 56 	count_cycle_reg[21]  <clk (rise)>  
    bit 57 	count_cycle_reg[22]  <clk (rise)>  
    bit 58 	count_cycle_reg[23]  <clk (rise)>  
    bit 59 	count_cycle_reg[24]  <clk (rise)>  
    bit 60 	count_cycle_reg[25]  <clk (rise)>  
    bit 61 	count_cycle_reg[26]  <clk (rise)>  
    bit 62 	count_cycle_reg[27]  <clk (rise)>  
    bit 63 	count_cycle_reg[28]  <clk (rise)>  
    bit 64 	count_cycle_reg[29]  <clk (rise)>  
    bit 65 	count_cycle_reg[30]  <clk (rise)>  
