Reporting registers that pass DFT rules
  alu_out_q_reg[0] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[10] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[11] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[12] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[13] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[14] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[15] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[16] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[17] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[18] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[19] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[1] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[20] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[21] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[22] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[23] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[24] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[25] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[26] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[27] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[28] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[29] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[2] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[30] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[31] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[3] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[4] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[5] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[6] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[7] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[8] 	PASS; Test clock: clk/rise; 
  alu_out_q_reg[9] 	PASS; Test clock: clk/rise; 
  clear_prefetched_high_word_q_reg 	PASS; Test clock: clk/rise; 
  compressed_instr_reg 	PASS; Test clock: clk/rise; 
  count_cycle_reg[0] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[10] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[11] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[12] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[13] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[14] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[15] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[16] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[17] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[18] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[19] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[1] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[20] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[21] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[22] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[23] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[24] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[25] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[26] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[27] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[28] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[29] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[2] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[30] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[31] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[32] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[33] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[34] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[35] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[36] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[37] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[38] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[39] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[3] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[40] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[41] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[42] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[43] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[44] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[45] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[46] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[47] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[48] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[49] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[4] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[50] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[51] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[52] 	PASS; Test clock: clk/rise; 
  count_cycle_reg[53] 	PASS; Test clock: clk/rise; 
